Geografía;Tipología penal;Periodos:;Total
- Isla de Mallorca;TOTAL INFRACCIONES PENALES;Enero-diciembre 2019;60.162
- Isla de Mallorca;TOTAL INFRACCIONES PENALES;Enero-diciembre 2020;48.205
- Isla de Mallorca;TOTAL INFRACCIONES PENALES;Variación % 2020/2019;-19,9
CATALUÑA;TOTAL INFRACCIONES PENALES;Enero-diciembre 2019;489.265
CATALUÑA;TOTAL INFRACCIONES PENALES;Enero-diciembre 2020;352.730
CATALUÑA;TOTAL INFRACCIONES PENALES;Variación % 2020/2019;-27,9
Provincia de BARCELONA;TOTAL INFRACCIONES PENALES;Enero-diciembre 2019;385.838
Provincia de BARCELONA;TOTAL INFRACCIONES PENALES;Enero-diciembre 2020;269.879
Provincia de BARCELONA;TOTAL INFRACCIONES PENALES;Variación % 2020/2019;-30,1
- Municipio de Badalona;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2019;3
- Municipio de Badalona;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2020;0
- Municipio de Badalona;1.-Homicidios dolosos y asesinatos consumados;Variación % 2020/2019;-100,0
- Municipio de Badalona;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2019;8
- Municipio de Badalona;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2020;9
- Municipio de Badalona;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2020/2019;12,5
- Municipio de Badalona;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2019;380
- Municipio de Badalona;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2020;311
- Municipio de Badalona;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2020/2019;-18,2
- Municipio de Badalona;4.-Secuestro;Enero-diciembre 2019;0
- Municipio de Badalona;4.-Secuestro;Enero-diciembre 2020;0
- Municipio de Badalona;4.-Secuestro;Variación % 2020/2019;0,0
- Municipio de Badalona;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2019;84
- Municipio de Badalona;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2020;63
- Municipio de Badalona;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2020/2019;-25,0
- Municipio de Badalona;5.1.-Agresión sexual con penetración;Enero-diciembre 2019;18
- Municipio de Badalona;5.1.-Agresión sexual con penetración;Enero-diciembre 2020;11
- Municipio de Badalona;5.1.-Agresión sexual con penetración;Variación % 2020/2019;-38,9
- Municipio de Badalona;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-diciembre 2019;66
- Municipio de Badalona;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-diciembre 2020;52
- Municipio de Badalona;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2020/2019;-21,2
- Municipio de Badalona;6.-Robos con violencia e intimidación;Enero-diciembre 2019;1.477
- Municipio de Badalona;6.-Robos con violencia e intimidación;Enero-diciembre 2020;1.259
- Municipio de Badalona;6.-Robos con violencia e intimidación;Variación % 2020/2019;-14,8
- Municipio de Badalona;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2019;645
- Municipio de Badalona;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2020;424
- Municipio de Badalona;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2020/2019;-34,3
- Municipio de Badalona;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2019;390
- Municipio de Badalona;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2020;264
- Municipio de Badalona;7.1.-Robos con fuerza en domicilios;Variación % 2020/2019;-32,3
- Municipio de Badalona;8.-Hurtos;Enero-diciembre 2019;3.410
- Municipio de Badalona;8.-Hurtos;Enero-diciembre 2020;2.686
- Municipio de Badalona;8.-Hurtos;Variación % 2020/2019;-21,2
- Municipio de Badalona;9.-Sustracciones de vehículos;Enero-diciembre 2019;265
- Municipio de Badalona;9.-Sustracciones de vehículos;Enero-diciembre 2020;142
- Municipio de Badalona;9.-Sustracciones de vehículos;Variación % 2020/2019;-46,4
- Municipio de Badalona;10.-Tráfico de drogas;Enero-diciembre 2019;49
- Municipio de Badalona;10.-Tráfico de drogas;Enero-diciembre 2020;40
- Municipio de Badalona;10.-Tráfico de drogas;Variación % 2020/2019;-18,4
- Municipio de Badalona;Resto de infracciones penales;Enero-diciembre 2019;6.020
- Municipio de Badalona;Resto de infracciones penales;Enero-diciembre 2020;5.732
- Municipio de Badalona;Resto de infracciones penales;Variación % 2020/2019;-4,8
- Municipio de Badalona;TOTAL INFRACCIONES PENALES;Enero-diciembre 2019;12.341
- Municipio de Badalona;TOTAL INFRACCIONES PENALES;Enero-diciembre 2020;10.666
- Municipio de Badalona;TOTAL INFRACCIONES PENALES;Variación % 2020/2019;-13,6
- Municipio de Barcelona;TOTAL INFRACCIONES PENALES;Enero-diciembre 2019;197.934
- Municipio de Barcelona;TOTAL INFRACCIONES PENALES;Enero-diciembre 2020;117.786
- Municipio de Barcelona;TOTAL INFRACCIONES PENALES;Variación % 2020/2019;-40,5
Provincia de GIRONA;TOTAL INFRACCIONES PENALES;Enero-diciembre 2019;45.249
Provincia de GIRONA;TOTAL INFRACCIONES PENALES;Enero-diciembre 2020;34.769
Provincia de GIRONA;TOTAL INFRACCIONES PENALES;Variación % 2020/2019;-23,2
- Municipio de Girona;8.-Hurtos;Enero-diciembre 2019;2.043
- Municipio de Girona;8.-Hurtos;Enero-diciembre 2020;1.376
- Municipio de Girona;8.-Hurtos;Variación % 2020/2019;-32,6
- Municipio de Girona;TOTAL INFRACCIONES PENALES;Enero-diciembre 2019;6.973
- Municipio de Girona;TOTAL INFRACCIONES PENALES;Enero-diciembre 2020;5.974
- Municipio de Girona;TOTAL INFRACCIONES PENALES;Variación % 2020/2019;-14,3
